ok_id;title;description;price;transaction_type;property_type;wilaya_code;wilaya_name;commune;latitude;longitude;surface;rooms;bedrooms;bathrooms;has_elevator;has_parking;has_garden;has_pool;is_furnished;photos;source_url
9466997;Location Studio Alger Ain benian;AGENCE IMMOBILIER DZIRA IMMO VOUS PROPOSE, a ain benian :bord de mer,a la Plage Fontaine : loue un grand studio,entièrement meublé et equipée,avec clim et chauffage, internet ADSL fibre optique et machine a laver cuisinière, Réfrégirateur ect....d'une sup.45m², dans une villa, 1e et dernier étage, avec terrasse,,très belle vue sur mer, à 50m de la plage, quartier très calme, paisible et sécurisée, idéal pour se reposer et se ressourcer ,  prix 4000 DA/par jour/ferme,                                                                                                   pour couple livret de famille exiger s'il vous plaît...                                                                                                                ;4000;RENT;APARTMENT;16;Alger;Ain benian;36.747965;3.066589;45;;;1;0;0;0;0;1;https://cdn9.ouedkniss.com/medias/announcements/images/KOElz/2ucjMSFdr8dnIgjaoZyzJFxmQ7qbMqSLK9phbE95.jpg|https://cdn7.ouedkniss.com/medias/announcements/images/KOElz/etU55oiMRpHako19pQJe7Ceh4WQvkAUJ78loHbLB.jpg|https://cdn8.ouedkniss.com/medias/announcements/images/KOElz/ZxtbvWMNEdzF684IvILrKE7XgF4DkyyL2YMhX6ln.jpg|https://cdn7.ouedkniss.com/medias/announcements/images/KOElz/abF1wxx5FJktKW37fi2bK4T6TwKtGduhWx6jZkqq.jpg|https://cdn7.ouedkniss.com/medias/announcements/images/KOElz/kaKiWjmjrKkosqzAQGU5SteRZJB2GgAq2fc57pOs.jpg;https://www.ouedkniss.com/appartement-location-alger-ain-benian-algerie-d9466997
54840140;Location Appartement F3 Alger Gue de constantine;Appartement Rdc a louer bien située;41000;RENT;APARTMENT;16;Alger;Gue de constantine;36.741799;3.077028;;3;2;1;0;0;0;0;0;https://cdn9.ouedkniss.com/medias/announcements/images/K1Ejz/2wUcp3q0Beirt5PLiraZzA3iQTJHDnbw4NVCZwQw.jpg|https://cdn7.ouedkniss.com/medias/announcements/images/K1Ejz/lDwMoVVCmU6zV9bMRBatb7GYn4G8XpbQvq7ZnKQa.jpg|https://cdn9.ouedkniss.com/medias/announcements/images/K1Ejz/4f0ej10M5zLRRGcmGZEDVeaIyMRNh0EnbdiasqXk.jpg|https://cdn9.ouedkniss.com/medias/announcements/images/K1Ejz/fymSOgcc2xMTlhYgGOSlozfBEZiFqQ5f4FjuNJaJ.jpg|https://cdn7.ouedkniss.com/medias/announcements/images/K1Ejz/Wh8mj4EFVN1TCypx97BULrEz56zctsPpITSK58cq.jpg;https://www.ouedkniss.com/appartement-location-f3-alger-gue-de-constantine-algerie-d54840140
54840038;Vente Appartement F5 Alger Draria;Agence el mordjane diagnostic immo : propose à draria lot el yasmine un appartement en f 5 sup 180m entièrement refait et moderne dispose d'une cuisine moderne et équipée chauffage central , climatisations emplacement stratégique sur l'artère principale de draria ver sebala  acte et livre foncier prix 4.65 milliards neg;46500000;SALE;APARTMENT;16;Alger;Draria;36.717693;3.045863;;5;4;2;0;0;0;0;0;https://cdn7.ouedkniss.com/medias/announcements/images/j2Q5pR/W4XHdOPSS75eb6pVdMTdCJlZ1FCeAbGCIcbi0ikR.jpg|https://cdn8.ouedkniss.com/medias/announcements/images/j2Q5pR/OWdJbsyFq2odkU0teqhfjLpRMo45ua50a8TGpJz8.jpg|https://cdn9.ouedkniss.com/medias/announcements/images/j2Q5pR/X23OSruI54eu8hSkfAndu2VcSOiMLNNXeWz12LG6.jpg|https://cdn8.ouedkniss.com/medias/announcements/images/j2Q5pR/7uWTfDhgQp3Ovm47PCrIb2ALxk9hb5ur1iCs0hac.jpg|https://cdn7.ouedkniss.com/medias/announcements/images/j2Q5pR/e1sF7uRGnezbjGuUSY4OqDBUGU9WFS1bCLMKbz1W.jpg;https://www.ouedkniss.com/appartement-vente-f5-alger-draria-algerie-d54840038
54205277;Vente Villa Alger Sidi mhamed;Villa coloniale a rénover ou a démolir a messonier ( rue mohamed ali bouchakour) pas loin de sacré cœur / ministère de l' habitat /parking Menani ,mosquée plateau (عمر ابن الخطاب) , avec deux façades , en cas de démolition le terrain et très bien situé et convient a 100% pour une promotion immobilière avec un certificat d’urbanisme de R+5 minimum façade route environ 22m /façade escaliers:environ 17m2;110000000;SALE;VILLA;16;Alger;Sidi mhamed;36.730919;3.043727;17;;;1;0;1;0;0;0;https://cdn8.ouedkniss.com/medias/announcements/images/9QnLZJ/G0HWr1MAMu943uziuzY3gdlWNcB3FtibfIu3lfAs.jpg|https://cdn9.ouedkniss.com/medias/announcements/images/9QnLZJ/8Q2D5qdxMqylAN2jiBbrqFO2j2fRPvw8oRaoTcw8.jpg|https://cdn7.ouedkniss.com/medias/announcements/images/9QnLZJ/zTndFnzkvQwgcxTucsZ8Z8lrbVRUJWvZnFZe9qKM.jpg|https://cdn8.ouedkniss.com/medias/announcements/images/9QnLZJ/xzlQ0CbEbFodMel6bOWy9G2zuUyIyvHARf2y5WrE.jpg|https://cdn8.ouedkniss.com/medias/announcements/images/9QnLZJ/DLLhyViygy3BxTrkNCisTiCcAWdzxUxbEwbL4Gwe.jpg;https://www.ouedkniss.com/villa-vente-alger-sidi-mhamed-algerie-d54205277
54709790;Location Appartement F4 Alger Hydra;B-260085 Agence immobiliere la résidence loue un bel appartement de type F4 de 115m2 au deuxieme étage d'un petit immeuble au centre d'hydra a coté de tout les commerces. l'appartement est lumineux et bien agencé, convient pour habitation ou bureaux, il se compose d'un hall a l'entrée, une suite parentale, deux chambres, un salon, une cuisine et doté de toute commodités, climatisation, chauffage centrale, internet.;160000;RENT;APARTMENT;16;Alger;Hydra;36.728619;3.070019;115;4;3;2;0;0;0;0;1;https://cdn9.ouedkniss.com/medias/announcements/images/82mg5/tcvG7MBSfToQhgc5qkAFrY4dL9mVYa2CW8q4lfNo.jpg|https://cdn8.ouedkniss.com/medias/announcements/images/82mg5/Fi4ZRjc96AT2rFF5mzcuXJqqZjPD0AstUDpsTkiH.jpg|https://cdn7.ouedkniss.com/medias/announcements/images/82mg5/CoeHBbiNd5BANOfDQsi4mSgy3xHXRsQmWrG0RHyy.jpg|https://cdn9.ouedkniss.com/medias/announcements/images/82mg5/PRGP6rcxmprgsFMjArB2qzkTPPwLjZFq7fyjLxy0.jpg|https://cdn8.ouedkniss.com/medias/announcements/images/82mg5/uOyyPKm8xRsfbqSU10Ct3gef93dTUNsgxMqssqC0.jpg;https://www.ouedkniss.com/appartement-location-f4-alger-hydra-algerie-d54709790
46103518;Vente Appartement F4 Alger El achour;Jad immobilier met en vente un spacieux appartement de type F4 au deuxième etage avec ascenseur, d’une superficie de 138 m2 en deux façades très éclairées, avec deux balcons  Comme équipements l’appartement est équipée de : chauffage central, climatisation, une suite parentale, bach a eau, une citerne et un box pour vehicules  L’appartement est situé a el Achour plus exactement a oued eromane ( cité des jasmins) ;37000;SALE;APARTMENT;16;Alger;El achour;36.742683;3.059535;138;4;3;2;1;0;0;0;0;https://cdn9.ouedkniss.com/medias/announcements/images/oYlZL/Vrz7RfGNusNNAk22jbzVZDChq5gZnfI8EggURY8W.jpg|https://cdn8.ouedkniss.com/medias/announcements/images/oYlZL/8rabhWzEgFKGeYlmEXRG0kmzlAi9dp6N2L1Zc77I.jpg|https://cdn9.ouedkniss.com/medias/announcements/images/oYlZL/wQBkW69pkbzrgGiStUQSVxHVGRcTKuUmTZNhLH0b.jpg|https://cdn8.ouedkniss.com/medias/announcements/images/oYlZL/WWiGDaYZynQVY2oQg27ibiuSNOr43ZM8ZoRLx1vk.jpg|https://cdn9.ouedkniss.com/medias/announcements/images/oYlZL/3y75SR1lLC0H3HCYSl8rlbj3fafOCL1yF6xfzyWd.jpg;https://www.ouedkniss.com/appartement-vente-f4-alger-el-achour-algerie-d46103518
49178246;Vente Appartement F4 Alger Cheraga;Cheraga centre-ville résidence « Bali », dans un quartier résidentiel gardé et fermé ,vend appartement F4 superficie :220m², habitable :161m² avec terrasse de : 12m ² et jardin : 41m² en RDC 02 entrées (entrée individuel, entrée commun) avec ascenseur. - composé de :  Grand salon avec jardin, sanitaire pour les invitées, cuisine équipée avec  jardin, 01 chambre parent (suite, salle de bain sanitaire, 02 dressing avec terrasse) , 01 chambre avec dressing, 01 chambre avec terrasse, salle de bain ,sanitaire ,avec Box de stationnement pour 02 véhicules. Commodités :  - Gaz, eau, électricité  - Climatisation, chauffage central.  - Système d’alarme. - Ascenseur. - Réserve d'eau individuel.  - Téléphone, internet . - Dressing. - Terrasse.  - Jardin. - Box de stationnement pour 02 véhicules.  -prix : 3900u;39000000;SALE;APARTMENT;16;Alger;Cheraga;36.747176;3.054413;220;4;3;2;1;0;1;0;0;https://cdn7.ouedkniss.com/medias/announcements/images/oj6PB/nF12hEemBbtpo8lMlv8s1lVmutI6eqJ2VvPVDOGQ.jpg|https://cdn8.ouedkniss.com/medias/announcements/images/oj6PB/karwUJxlnf3koANJQor49U8f2ufJgEOnyLv8hX1G.jpg|https://cdn8.ouedkniss.com/medias/announcements/images/oj6PB/6zHiVEI6o9itE7aPMLYrEoM1ASSAU6b1TrIF8O8k.jpg|https://cdn7.ouedkniss.com/medias/announcements/images/oj6PB/hMCemD5gGp3YnCAccZpm27GBFSSdC5VpjV18mR5E.jpg|https://cdn7.ouedkniss.com/medias/announcements/images/oj6PB/NTPQVD8EvMv1R7ObIw7YrgX7KXsiySFHQ5nfHxhr.jpg;https://www.ouedkniss.com/appartement-vente-f4-alger-cheraga-algerie-d49178246
53519867;Vente Appartement Duplex F5 Alger Cheraga;Cheraga, dans une residence gardée et fermée, vend un duplex F5, sup : 160m², Entrée En RDC , 01 façade 02 ème étage •	Composé de :  - RDC : hall, sanitaire, salle de bain , cuisine équipée avec balcon, salon avec balcon,  - 1er étage : 04 chambres, salle de bain, sanitaire  •	Commodités :  -	GAZ, eau , électricité -	Climatisation. -	Chauffage central. -	Interphone. -	02 Box de stationnement. -	Cave 8m² (débarra) . •	Prix : 4200u;42000000;SALE;APARTMENT;16;Alger;Cheraga;36.729238;3.054457;160;5;4;2;0;0;0;0;0;https://cdn9.ouedkniss.com/medias/announcements/images/oj6PB/mQLHlbAT8ILcqOMT7wByCuboyVQSATU0rzu6LgTn.jpg|https://cdn7.ouedkniss.com/medias/announcements/images/oj6PB/XphZFb5e6dWoJzQ9vPOqOJN2ST6m2vSD9FFr5OD3.jpg|https://cdn8.ouedkniss.com/medias/announcements/images/oj6PB/amwZ5w9xSHU1rDO6FsT9UiLwYk3DD1SGlfSBMuRW.jpg|https://cdn7.ouedkniss.com/medias/announcements/images/oj6PB/nDlXgTj78huu4q5LjfqxSXB0Cq20Sod3XbMwJhpa.jpg|https://cdn7.ouedkniss.com/medias/announcements/images/oj6PB/cBUN0IIjW5r3tJ2crRUbtC7LeBS78zSMckStDU43.jpg;https://www.ouedkniss.com/appartement-vente-f5-alger-cheraga-algerie-d53519867
50111483;Vente Appartement F3 F4 F5 Alger Draria;Vend plusieurs appartements à draria ( des quartiers résidentiel) , type F3/F4/Duplex,  superficie entre( 100m²- 200m² ) dans une différant cite , nouvel construction avec acte et livret de foncier;1;SALE;APARTMENT;16;Alger;Draria;36.732710;3.074180;100;3;2;1;0;0;0;0;0;https://cdn7.ouedkniss.com/medias/announcements/images/oj6PB/kCMSEbWwKCPgWVs8LNc6tRtmzJznSljVjNa4yvZH.jpg;https://www.ouedkniss.com/appartement-vente-f3-alger-draria-algerie-d50111483
54666431;Vente Appartement F3 Alger Cheraga;Cheraga , coté AGB ,dans un petit immeuble résidentiel , vend appartement F3 (état brute), avec entrée individuel, sup :165m² , en sous-sol , avec box de stationnement  •	Composé de : Hall ouvert sur grand salon avec balcon, avec salle de bain sanitaire, suite parental avec balcon communicant, cuisine, 01 chambre.  •	Commodité :  	Electricité - Eau, gaz  	Box de stationnement  •	 Prix : 2400u;24000000;SALE;APARTMENT;16;Alger;Cheraga;36.728706;3.056397;165;3;2;1;0;0;0;0;1;https://cdn8.ouedkniss.com/medias/announcements/images/oj6PB/pdzrWOGTyOQomvZ3q3Blem0w5rexAZPCGoyKmPXm.jpg|https://cdn7.ouedkniss.com/medias/announcements/images/oj6PB/0YFsRNlv3bu6I8arULXj1NUkFi2IJSBaQY1UG3Ys.jpg|https://cdn8.ouedkniss.com/medias/announcements/images/oj6PB/cMsvTQ68SjSHIuFf4wGHIK0V35OkfEsvZk9mojJn.jpg;https://www.ouedkniss.com/appartement-vente-f3-alger-cheraga-algerie-d54666431
